,created_at,geo.coordinates,geo.type,in_reply_to_screen_name,is_quote_status,lang,place.country,place.country_code,place.name,place.place_type,text,user.created_at,user.description,user.location,user.name,user.screen_name
0,Sun Sep 11 02:05:23 +0000 2016,,,HillaryClinton,False,en,United States,US,Evansville,city,@HillaryClinton @POTUS @JudgeJeanine @NBA @NFL @MLB @UCLA @greta @dukeblueplanet  There IS A PLAN U PIC ❤️✝👀 https://t.co/UDsJmesa5w,Fri Jun 24 13:46:12 +0000 2016,#Election2016 #Election2016,"Evansville, IN",RonaldSouthwell,AlbertNewton22
1,Wed Aug 17 20:18:54 +0000 2016,,,,False,en,United States,US,Nutley,city,"IF THEY ONLY HAD A BRAIN! 
#NeverTrump #BuhByeTRUMP 
#TrumpIsUnfit https://t.co/YjYABvQ8pw",Mon Aug 15 12:09:02 +0000 2011,#TeamGay.#Atheist.HATE is NOT a Family Value.J&P together 23 yrs.Over 21 please!#ImWithHer #HillaryKaine2016 #Equality4All #MusicIsLife   #LoveIsLove #LGBTQIA ☮,"Nutley, New Jersey",Jimmy   Bear,JimmyBear2
2,Fri Sep 02 23:06:23 +0000 2016,,,,False,en,United States,US,Oklahoma City,city,"Attorney's first line of defense to those they represent: just keep saying ""I don't recall"" ""I don't remember"" #lyingHillary @HillaryClinton",Wed Aug 22 14:38:00 +0000 2012,"Patriot. Constitutionalist. Conservative. Anti-Obama. Anti-Hillary. Pro America!! Love my wife Joy, our 4 kids and 4 awesome grandkids!!","Oklahoma City, OK",Pops,GLCPOPS
3,Thu Sep 01 03:01:51 +0000 2016,,,kikesma,False,es,México,MX,Villaldama,city,@kikesma @norma22flores @EPN @realDonaldTrump No lo recibió como presidente,Wed May 21 21:39:25 +0000 2014,,,Alonso Betancurt,upatrocinio
4,Sat Sep 10 05:22:45 +0000 2016,,,,True,en,United States,US,Marblehead,city,"Classy..  Better than I expected.  But on a serious note, why would u ever want to go to an event like this?  Crazy. https://t.co/jOdETLmkSn",Tue Feb 23 03:13:22 +0000 2016,Kasich supporter. never ever trump. trump is just to crazy for me. Probably will vote 4 Johnson / Weld.  Sailing & Skiing for fun.,"Massachusetts, USA",William McCarthy,wfm01945
5,Sat Aug 27 04:28:17 +0000 2016,,,realDonaldTrump,False,en,United States,US,Stevenson Ranch,city,@realDonaldTrump I wouldn't even consider it when it is a consolation dinner for you.,Tue Jan 03 02:43:33 +0000 2012,That the poweful play goes on and you may contribute a verse. What will your verse be?,"Santa Clarita Valley, CA",Rob Desmond,educatorob
6,Thu Aug 25 15:42:29 +0000 2016,,,,False,en,United States,US,Washington,city,"Join me again @CNN @ThisHour 11:45am re #Trump's dumb ""bigot"" comment. Is he projecting? Yes. Knows most Americans see him as bigoted/racist",Fri Mar 19 15:26:01 +0000 2010,"Political Strategist, CNN/CNNEE Contributor, Principal/Dewey Square Group, Founder @Latinovations, Wise Latina, Mother, Wife, Out-Loud Thinker and Doer",Washington DC,Maria Cardona,MariaTCardona
7,Wed Aug 17 19:36:22 +0000 2016,,,,True,en,United States,US,Los Alamitos,city,More fraud from soros and Clinton https://t.co/cjHD1eqW6U,Wed Mar 12 00:24:06 +0000 2014,Business Owner BIG Trump supporter member  of California Business women for Trump. Fiscally conservative yet more moderate socially. Christen mother grandmother,"Los Alamitos, CA",Cindy zarember,zarember_cindy
8,Sun Aug 21 19:59:25 +0000 2016,,,,True,en,United States,US,Washington,admin,Right! @realDonaldTrump thinks he's special‼️ https://t.co/pHMrEcs1Hj,Thu Sep 25 01:28:59 +0000 2008,CLINTON❤️KAINE ❤️BLM❤️EQUALITY❤️PP❤️ NO ABUSERS NO TRUMPS ❤️UNION VETS❤️PBO. #ImWithHer #NeverTrump,,DEBI129,Debi129
9,Tue Aug 23 05:20:59 +0000 2016,,,JohnKStahlUSA,False,en,United States,US,Houston,city,@JohnKStahlUSA I want @realDonaldTrump to say that he will prosecute her and all them for crimes against USA including Bill when elected!,Mon Nov 03 17:55:38 +0000 2008,Tired of @GOP not delivering on promises or leadership! Looking for disruption and believe that is Donald Trump! This election is a chance to make a change! USN,USA,SWalker for Trump,NRSDAWG
