,dominant_topic,text
0,trump,Someone needs to tell @realDonaldTrump he's not winning Virginia &amp; save the &gt;90% of DC residents who aren't voting for him from these ads.
1,trump,"#Trump in 2016 Temp:Crab Orchard, Ky."":80.4°F Wind:0.0mph Pressure: 30.00hpa Falling slowly Rain Today 0.00in.  Forecast: Unsettled, precip"
2,trump,@Blob_Fish @realDonaldTrump should have been a board member of a University for $16 million and then got $25mil from his wife @ State 🤔🤔
3,trump,#nevercruz #neverbush #neverkasich https://t.co/xAuIsXrIct
4,trump,Unless you like dictators...clearly @realDonaldTrump and @netanyahu do https://t.co/HgzoRhxVeo
5,hillary,@realDonaldTrump   So how's your ability to read body language working for you? https://t.co/IqMIQIayhy
6,trump,"Ooooh, I so hope (old homestate) #NC goes #Democratic in #Elections2016 #ImWithHer #trump https://t.co/ZNWlXJZNnf"
7,hillary,@NormOrnstein @Catballou #Trump's a scary &amp; intimidating man who reminds #MattLauer of the mean boys who used to stuff him into garbage cans
8,trump,"Dude, I'm sick of seeing ya damn ads. Go away. @realDonaldTrump"
9,trump,.@realDonaldTrump #FuckYouDonald and you too @MLauer  https://t.co/lIRg09LRt5
10,trump,@HillaryClinton What a nut job.
11,hillary,@foxandfriends @HillaryClinton @realDonaldTrump  Y of course she denies it. She denies everything she does. She doesn't know the truth. Liar
12,hillary,Trashy way to speak to a woman.  https://t.co/5MYlmFPDQQ
13,trump,@realDonaldTrump this is positive bull crap like what you know zilch except name calling orange Matt is a loser like u
14,hillary,@interestedj @HillaryClinton But I left shortly after that because I saw my opportunity to further my career was blocked.
15,trump,"elities and George Will's buddy, Chris Wallace  called @realDonaldTrump a liar. I can just imagine him as moderator. He showed his tru color"
16,trump,@MCCNP @realDonaldTrump Most important poll of all will be on November 8 when the people endorse Trump to #MakeAmericaGreatAgain
17,hillary,"@HillaryClinton Yes you will, Madame President :-)"
18,hillary,"@foxandfriends Then it was an 'equilibrium maintainer,' a vibratory cell meant to fend off coughing, or is it #HillaryClinton's new piercing"
19,trump,"@MrGeorgeWallace @SarahKSilverman @realDonaldTrump If you have to look between he legs to decide how to vote, YOU'RE A MORON!"
20,trump,@realDonaldTrump https://t.co/xD4N03OSv3
21,trump,@realDonaldTrump GREAT forum last night Mr Trump
22,trump,@rudygiulianiGOP @wikileaks @realDonaldTrump
23,trump,@realDonaldTrump NEVER TRUMP‼️👹👹
24,trump,"@the1truepatri0t @PrisonPlanet @realDonaldTrump Reagan was a Democrat built a bond 40 years with Repubs,Trump backnfourth since 80, #Trump"
25,trump,@Maninthetower78 @MsEricka45 @HillaryClinton Trump is the One UNFit for POTUS!
26,trump,"@realDonaldTrump Trump's shot at top brass rankles military circles
Read more: https://t.co/xibgsj665u"
27,hillary,"So @realDonaldTrump when you lose to a flawed woman candidate, whom are you going to blame.   We know you will never take responsibility"
28,trump,@markheardusa @TeamTrump @TrumpPutin @realDonaldTrump call @marklevinshow n ask him he just endorsed dt sorry he owns this if worth his vote
29,hillary,"@realDonaldTrump in your dreams, Hillary did not have to sit down the whole time"
30,trump,"@HillaryClinton An awareness and understanding of scripture that is vastly superior to the ""Two Corinthians"" fellow."
31,trump,"@realDonaldTrump Was the question ""Is Trump an incompetent buffoon?"""
32,hillary,@HardballChris @MSNBC @realDonaldTrump what a waste of our time watching CM fight over this instead of going over real issues
33,trump,@Always_Trump @HillaryClinton Signs of rapid deterioration of her health.
34,hillary,"@SteveMTalk @brianstelter @realDonaldTrump Heard ""inside-the-Belt"" HRC has Indemnity Deal w/Obama. HRC will w/draw re: Health &amp; Joe is in."
35,hillary,Omg laughing too hard 😂 https://t.co/V42UjkHuNy
36,trump,@realDonaldTrump screw you loser! You will never win Putin made you his puppet ur to stupid to see it lol
37,trump,@GOP @magnifier661 @HillaryClinton https://t.co/QM3XoLMff8
38,trump,Must read! #NeverTrump #ImWithHer https://t.co/zXrSNCohQS
39,hillary,And this is coming from a woman. @voxdotcom claimed that is sexist. Lol https://t.co/O0IhbTIGEe
40,hillary,"@billmaher 
Bill you got a hold of some bad smoke if you think anyone should vote for 
@HillaryClinton #SAYNOTOHILLARY 
#LYINGCROOKEDHILLARY"
41,hillary,We have boots down in basically every country https://t.co/LkoimDfImw
42,trump,@ToddDracula @realDonaldTrump @TSTpolitics @vine Todd u need 2 go live n mexico!
43,trump,"@rudygiulianiGOP @wikileaks @realDonaldTrump 
you were respected as a mayor but now you look like a total ass"
44,hillary,"@MichaelColaa @jimjefferies @HillaryClinton define your version of ""qualified""..."
45,hillary,"Even if that child is a refugee who comes fleeing gang violence in Honduras, @HillaryClinton? https://t.co/TMgLxRLUGC"
46,trump,@DitaKnights @HillaryClinton https://t.co/ih2ToB3Ksi
47,trump,@CNNnewsroom @realDonaldTrump @AmberSmithUSA https://t.co/QV7mDtSE23
48,trump,@realDonaldTrump So where did this BS come from? Out of your toxic orange ass I'm guessing. You are disgusting. Deplorable. #ImWithHer
49,trump,#NEVERTRUMP - DON'T CUT OFF YOUR NOSE TO SPITE YOUR FACE! https://t.co/nmEsJcINPd
50,trump,"Thank God, never had a doubt, raised right, They'd be ok! Want @realDonaldTrump 2Win, tho he said some rude crap! https://t.co/u6APuKPEqg"
51,trump,@PrisonPlanet NYPD supports #trump came forward &amp; identified device.  she's no fan of police ty NYPD.
52,trump,@realDonaldTrump u think u can run a country? how abt giving credit &amp; PAY 2 those who did ur grunt work for months?https://t.co/rAUUZqPyZJ
53,trump,"@the1truepatri0t @PrisonPlanet @realDonaldTrump yes,his back n forth has worried me, im taking a chance #ImWithHim #NotWithHer !"
54,hillary,"Both @realDonaldTrump and @mike_pence have praised #VladimirPutin. What more do you need, America, to KEEP THEM OUT OF the White House?!?"
55,trump,By By https://t.co/wXwQ7mNXSV
56,hillary,@TreyGowdy U r doing a great job!Believe u will get.#HRC before its call over!Know its tough as FBI Comey screwed up https://t.co/0KVDHO26CQ
57,trump,@realDonaldTrump says the man who regurgitated disconnected phrases punctuated by outright idiocy.
58,hillary,"@realDonaldTrump And the Evangelicals, Hispanics and African-Americans are all Yuge https://t.co/c5hzMa6A9X fans. Oh, Donny...you crashed."
59,trump,"#DonaldTrump 
Did you notice,  almost no crowd showed up for Hillary speach."
60,hillary,@realDonaldTrump you probably don't know the difference between Aleppo and alpo
61,trump,@PJMedia_com @MittRomney Who? @GovGaryJohnson @realDonaldTrump
62,trump,@HillaryClinton https://t.co/1OVNSyedKu
63,trump,#UnbornLivesMatter https://t.co/y4zerWTQef
64,hillary,"@tomborelli @deneenborelli isn't it odd that the term ""witch hunt"" is never used by the libs 2 describe investigations of #Hillary 😂😂😂"
65,trump,President Trump 👍👍👍👍👍 https://t.co/AEz9oEVeWw
66,trump,@CNNSitRoom @realDonaldTrump https://t.co/KSNE1ABeD2
67,trump,@realDonaldTrump #CrazyTrain
68,hillary,"""When I do come up with a plan. . . .""  So you have no plan @realDonaldTrump"
69,trump,@realDonaldTrump my dear mr.rump you don't know a damn thing # old whinybitch
70,hillary,"@realDonaldTrump @GovPenceIN SHAMEFUL DISCOURSE ABOUT A ""DICTATOR"" BEING A BETTER PRESIDENT
THAN BARACK OBAMA"" You are pathetic."
71,trump,"@ljcambria @AZTrumpster @mitchellvii @kachninja @mcuban @Darren32895836 @realDonaldTrump -UH OH! I will, &amp; stand corrected🤔"
72,trump,"@IngrahamAngle Right, some repub elites r big crybabies and r very damaging to the party. #Trump is a good man, much smarter than they know"
73,hillary,When @DrJillStein gets charged for spray painting a bulldozer but @HillaryClinton doesn't after compromising our national security... 🐸☕️
74,trump,@CNNSitRoom @HillaryClinton https://t.co/XojTtmXOwV
75,trump,@HillaryClinton all those children you kill through abortion never have a chance to dream.  Vote @realDonaldTrump
76,hillary,@HillaryClinton why are people so insecure about whether a woman politicians smiles???
77,trump,How sad @MaryMatalin!  https://t.co/Rj9T25SwXr
78,trump,"@realDonaldTrump Um no, they are all discussing how she pointed out your stupidity."
79,trump,@HillaryClinton https://t.co/vslyYg3bQI
80,trump,#tbt Blondes do it better #makeamericagreatagain #Trump… https://t.co/nmOWpE2FJS
81,trump,@burghseyeview @NRO selected not elected #NeverHillary  #corruption
82,trump,@HillaryClinton https://t.co/RTXE5OjJyL
